hour2;workdayDE;Saturday;dt;temp.c;p.clouds
0;1;0;2014-04-01 00:00:00;5.89;0
1;1;0;2014-04-01 01:00:00;5.66;0
2;1;0;2014-04-01 02:00:00;3.98;0
3;1;0;2014-04-01 03:00:00;3.71;0
4;1;0;2014-04-01 04:00:00;4.5;0
5;1;0;2014-04-01 05:00:00;4.64;0
6;1;0;2014-04-01 06:00:00;4.76;0
7;1;0;2014-04-01 07:00:00;4.18;0
8;1;0;2014-04-01 08:00:00;4.35;0
9;1;0;2014-04-01 09:00:00;7.97;0
10;1;0;2014-04-01 10:00:00;11.09;0
11;1;0;2014-04-01 11:00:00;12.3;0
12;1;0;2014-04-01 12:00:00;13.91;0
13;1;0;2014-04-01 13:00:00;14.52;0
14;1;0;2014-04-01 14:00:00;15.46;0
15;1;0;2014-04-01 15:00:00;15.61;0
16;1;0;2014-04-01 16:00:00;15.75;0
17;1;0;2014-04-01 17:00:00;14.1;0
18;1;0;2014-04-01 18:00:00;12.41;0
19;1;0;2014-04-01 19:00:00;11.24;0
20;1;0;2014-04-01 20:00:00;10.28;0
21;1;0;2014-04-01 21:00:00;9.75;0
22;1;0;2014-04-01 22:00:00;9.19;0
23;1;0;2014-04-01 23:00:00;8.66;0
0;1;0;2014-04-02 00:00:00;8.36;0
1;1;0;2014-04-02 01:00:00;7.99;0
2;1;0;2014-04-02 02:00:00;7.75;0
3;1;0;2014-04-02 03:00:00;7.14;0
4;1;0;2014-04-02 04:00:00;6.87;0
5;1;0;2014-04-02 05:00:00;6.17;0
6;1;0;2014-04-02 06:00:00;5.74;0
7;1;0;2014-04-02 07:00:00;5.34;0
8;1;0;2014-04-02 08:00:00;6.4;0
9;1;0;2014-04-02 09:00:00;7.77;0
10;1;0;2014-04-02 10:00:00;9.32;0
11;1;0;2014-04-02 11:00:00;11.9;0
12;1;0;2014-04-02 12:00:00;13.92;0
13;1;0;2014-04-02 13:00:00;15.7;0
14;1;0;2014-04-02 14:00:00;17.22;0
15;1;0;2014-04-02 15:00:00;18.49;0
16;1;0;2014-04-02 16:00:00;18.94;0
17;1;0;2014-04-02 17:00:00;19.17;0
18;1;0;2014-04-02 18:00:00;18.56;0
19;1;0;2014-04-02 19:00:00;16.76;0
20;1;0;2014-04-02 20:00:00;15.77;0
21;1;0;2014-04-02 21:00:00;14.25;0
22;1;0;2014-04-02 22:00:00;13.22;0
23;1;0;2014-04-02 23:00:00;11.92;0
0;1;0;2014-04-03 00:00:00;11.3;0
1;1;0;2014-04-03 01:00:00;11.3;0
2;1;0;2014-04-03 02:00:00;9.29;0
3;1;0;2014-04-03 03:00:00;8.47;0
4;1;0;2014-04-03 04:00:00;7.69;0
5;1;0;2014-04-03 05:00:00;6.88;0
6;1;0;2014-04-03 06:00:00;6.66;0
