hour2;workdayDE;Saturday;dt;temp.c;wind;rain;p.clouds;n.visits
1;0;0;2014-01-01 01:00:00;0.03;3.6;0;0;0
2;0;0;2014-01-01 02:00:00;-0.53;4;0;88;0
3;0;0;2014-01-01 03:00:00;-0.54;2.3;0;88;0
4;0;0;2014-01-01 04:00:00;-0.57;1.9;0;88;0
5;0;0;2014-01-01 05:00:00;-0.76;3.1;0;88;0
6;0;0;2014-01-01 06:00:00;-0.7;2.9;0;88;0
7;0;0;2014-01-01 07:00:00;-0.77;2.8;0;88;0
8;0;0;2014-01-01 08:00:00;-0.73;1.8;0;88;0
9;0;0;2014-01-01 09:00:00;0.02;2.3;0;88;0
10;0;0;2014-01-01 10:00:00;0.85;3.1;0;0;0
11;0;0;2014-01-01 11:00:00;1.52;2.6;0;0;0
12;0;0;2014-01-01 12:00:00;2.39;3.1;0.25;0;0
13;0;0;2014-01-01 13:00:00;3.41;2.6;0;0;0
14;0;0;2014-01-01 14:00:00;4.2;3.1;0;75;0
15;0;0;2014-01-01 15:00:00;3.96;3.1;0;75;0
16;0;0;2014-01-01 16:00:00;3.74;2.6;0;75;0
17;0;0;2014-01-01 17:00:00;3.32;2.6;0;75;0
18;0;0;2014-01-01 18:00:00;2.95;2.6;0;75;0
19;0;0;2014-01-01 19:00:00;2.42;3.1;0;75;0
20;0;0;2014-01-01 20:00:00;1.43;3.1;0;20;0
21;0;0;2014-01-01 21:00:00;1.48;3.4;0;88;0
22;0;0;2014-01-01 22:00:00;1.42;3.2;0;88;0
23;0;0;2014-01-01 23:00:00;1.07;2.2;0;88;0
0;1;0;2014-01-02 00:00:00;1.39;3.5;0;88;0
1;1;0;2014-01-02 01:00:00;1.09;4.1;0;88;0
2;1;0;2014-01-02 02:00:00;0.85;3.6;0;88;0
3;1;0;2014-01-02 03:00:00;1.11;3.4;0;88;0
4;1;0;2014-01-02 04:00:00;1.11;3.4;0;88;0
5;1;0;2014-01-02 05:00:00;15.543;6.16;0;88;0
6;1;0;2014-01-02 06:00:00;2.45;3.6;0;0;0
7;1;0;2014-01-02 07:00:00;2.45;3.6;0;0;0
8;1;0;2014-01-02 08:00:00;2.68;3.6;0;0;0
9;1;0;2014-01-02 09:00:00;3.07;4.1;0;88;8
10;1;0;2014-01-02 10:00:00;3.39;4.6;0;0;26
11;1;0;2014-01-02 11:00:00;3.69;3.6;0;75;66
12;1;0;2014-01-02 12:00:00;4.33;3.6;0.1;0;59
13;1;0;2014-01-02 13:00:00;4.99;3.6;0;0;79
14;1;0;2014-01-02 14:00:00;5.51;4.6;0;0;71
15;1;0;2014-01-02 15:00:00;6.03;4.4;0;88;80
16;1;0;2014-01-02 16:00:00;6;4.6;0;0;94
17;1;0;2014-01-02 17:00:00;5.53;5.1;0.25;75;91
18;1;0;2014-01-02 18:00:00;5.37;3.1;0.2;88;71
19;1;0;2014-01-02 19:00:00;5.49;3.6;0;0;67
20;1;0;2014-01-02 20:00:00;5.67;4.1;0;0;10
21;1;0;2014-01-02 21:00:00;6.42;3.1;0;90;0
22;1;0;2014-01-02 22:00:00;6.65;3.6;0;90;0
23;1;0;2014-01-02 23:00:00;6.34;2.6;0;75;0
0;1;0;2014-01-03 00:00:00;5.25;1.7;0;88;0
1;1;0;2014-01-03 01:00:00;5.25;1.7;0;88;0
2;1;0;2014-01-03 02:00:00;4.22;2.1;0;20;0
3;1;0;2014-01-03 03:00:00;4.19;1.5;0;0;0
4;1;0;2014-01-03 04:00:00;4.19;1.5;0;0;0
5;1;0;2014-01-03 05:00:00;3.16;2.1;0;20;0
6;1;0;2014-01-03 06:00:00;2.7;2.9;0;88;0
7;1;0;2014-01-03 07:00:00;2.58;3.4;0;88;0
8;1;0;2014-01-03 08:00:00;3.06;3.2;0;88;0
9;1;0;2014-01-03 09:00:00;4.59;4.1;0;0;4
10;1;0;2014-01-03 10:00:00;4.59;4.1;0;0;16
11;1;0;2014-01-03 11:00:00;7.07;5.1;0;0;55
12;1;0;2014-01-03 12:00:00;8.5;5.1;0;0;57
13;1;0;2014-01-03 13:00:00;8.86;5.1;0;0;79
14;1;0;2014-01-03 14:00:00;8.86;5.1;0;0;66
15;1;0;2014-01-03 15:00:00;8.46;5.7;0;0;76
16;1;0;2014-01-03 16:00:00;8.36;5.7;0;0;95
17;1;0;2014-01-03 17:00:00;7.91;5.7;0;75;91
18;1;0;2014-01-03 18:00:00;8.23;4.6;0;90;68
19;1;0;2014-01-03 19:00:00;8.23;4.6;0;90;47
20;1;0;2014-01-03 20:00:00;8.07;5.7;0;0;22
21;1;0;2014-01-03 21:00:00;7.75;4.1;0;0;0
22;1;0;2014-01-03 22:00:00;7.52;4.1;0;0;0
23;1;0;2014-01-03 23:00:00;7.72;4.6;0;88;0
0;1;1;2014-01-04 00:00:00;7.72;4.6;0;88;0
1;1;1;2014-01-04 01:00:00;8.27;6.7;0;75;0
2;1;1;2014-01-04 02:00:00;6.71;3.6;0;0;0
3;1;1;2014-01-04 03:00:00;6.51;3.6;0;0;0
4;1;1;2014-01-04 04:00:00;5.8;3.6;0;0;0
5;1;1;2014-01-04 05:00:00;5.8;3.6;0;0;0
6;1;1;2014-01-04 06:00:00;5.45;3.6;0;0;0
7;1;1;2014-01-04 07:00:00;4.92;4.6;0;0;0
8;1;1;2014-01-04 08:00:00;4.58;4.1;0;0;0
